"species","seeds_1993","seeds_1994","seeds_1995","seeds_1996","seeds_1997","seeds_1998","seeds_1999","seeds_2000","seeds_2001","seeds_2002","seeds_2003","seeds_2004","seeds_2005","seeds_2006","seeds_2007","seeds_2008","seeds_2009","seeds_2010","seeds_2011","seeds_2012","RBA_1993","RBA_1994","RBA_1995","RBA_1996","RBA_1997","RBA_1998","RBA_1999","RBA_2000","RBA_2001","RBA_2002","RBA_2003","RBA_2004","RBA_2005","RBA_2006","RBA_2007","RBA_2008","RBA_2009","RBA_2010","RBA_2011","RBA_2012","sp_est"
"alchco",425,1344,1286,1644,1268,654,408,1434,359,1043,50,10,181,21,18,3,6,33,0,0,4146429.40923847,4088452.16442234,4030474.91960622,3991123.35402798,3951771.78844974,3912420.2228715,3873068.65729326,3833717.09171502,3839153.92036965,3844590.74902427,3850027.5776789,3855464.40633352,3860901.23498815,3820395.97350077,3779890.71201339,3739385.45052602,3698880.18903864,3658374.92755126,3617869.66606388,3577364.4045765,0.322324722792602
"alsebl",32466,765,14203,2449,1714,27001,1237,885,20366,6962,5682,2325,1401,768,13837,2367,15682,140,189,1631,23266220.6588653,23143817.32014,23021413.9814146,23269748.2382306,23518082.4950465,23766416.7518625,24014751.0086784,24263085.2654944,24190161.7923976,24117238.3193008,24044314.846204,23971391.3731072,23898467.9000104,23928543.5205374,23958619.1410644,23988694.7615914,24018770.3821184,24048846.0026453,24078921.6231723,24108997.2436993,0.801583558332119
"anacex",44,19,40,17,20,1,65,20,16,38,17,68,33,24,10,35,10,13,57,18,32366745.4195457,32226455.3450393,32086165.270533,31287559.1940344,30488953.1175359,29690347.0410374,28891740.9645389,28093134.8880404,27975208.8825583,27857282.8770763,27739356.8715942,27621430.8661122,27503504.8606301,27601754.0565018,27700003.2523735,27798252.4482452,27896501.6441169,27994750.8399886,28093000.0358603,28191249.231732,0.00244760327531519
"ast2gr",0,2,0,0,72,0,18,0,0,0,0,1,4,3,0,3,0,3,1,39,966536.701394142,963731.019214879,960925.337035616,908576.111235363,856226.885435111,803877.659634859,751528.433834606,699179.208034354,714868.762759361,730558.317484368,746247.872209375,761937.426934381,777626.981659388,775807.228850154,773987.47604092,772167.723231687,770347.970422453,768528.217613219,766708.464803985,764888.711994751,0.0225650468287111
"beilpe",33,234,3,93,3,69,119,213,1,102,164,15,143,21,176,68,15,128,91,17,15021020.8571208,15034134.7891114,15047248.721102,15073494.1171949,15099739.5132877,15125984.9093805,15152230.3054733,15178475.7015661,15003846.830542,14829217.9595179,14654589.0884938,14479960.2174697,14305331.3464456,14144783.0020616,13984234.6576775,13823686.3132934,13663137.9689093,13502589.6245253,13342041.2801412,13181492.9357571,0.0147028666053613
"brosal",289,639,436,162,1406,375,146,388,485,329,277,820,107,98,168,59,57,256,123,67,16677621.8151489,16722832.5310382,16768043.2469274,16755976.7258486,16743910.2047699,16731843.6836911,16719777.1626123,16707710.6415335,16912335.35962,17116960.0777065,17321584.795793,17526209.5138795,17730834.2319659,17359292.4717074,16987750.7114489,16616208.9511903,16244667.1909318,15873125.4306733,15501583.6704147,15130041.9101562,0.049668087530555
"chr2ar",9,0,1,6,0,7,0,0,1,0,0,0,1,0,0,0,7,7,0,0,1509902.72558713,1503907.83815422,1497912.95072131,1508368.83108471,1518824.71144812,1529280.59181152,1539736.47217492,1550192.35253833,1520079.18387484,1489966.01521136,1459852.84654788,1429739.6778844,1399626.50922092,1350440.64096108,1301254.77270124,1252068.9044414,1202883.03618156,1153697.16792172,1104511.29966188,1055325.43140204,0.00355531325921024
"chr2ca",171,0,87,40,2,111,9,3,152,17,24,71,3,16,50,57,73,7,3,23,4013123.92763522,4039838.63632618,4066553.34501713,4176787.39033185,4287021.43564657,4397255.48096129,4507489.52627601,4617723.57159072,4506598.10766893,4395472.64374713,4284347.17982533,4173221.71590353,4062096.25198174,4123251.87080596,4184407.48963019,4245563.10845442,4306718.72727865,4367874.34610288,4429029.96492711,4490185.58375133,0.0270617747584492
"cordal",231,228,250,238,90,139,278,103,82,93,135,296,382,353,200,568,757,227,403,135,3128500.92799419,3207816.09813928,3287131.26828437,3357125.22280958,3427119.17733478,3497113.13185998,3567107.08638519,3637101.04091039,3652119.31385456,3667137.58679872,3682155.85974289,3697174.13268706,3712192.40563122,3659011.99131309,3605831.57699495,3552651.16267681,3499470.74835868,3446290.33404054,3393109.91972241,3339929.50540427,0.185595271547573
"cordbi",342,147,306,206,453,311,135,161,176,381,561,189,367,378,346,439,379,292,152,49,9963624.41364964,10041249.965969,10118875.5182883,10220775.1897637,10322674.8612391,10424574.5327144,10526474.2041898,10628373.8756652,10754807.9505494,10881242.0254336,11007676.1003178,11134110.175202,11260544.2500862,11519774.6704402,11779005.0907943,12038235.5111484,12297465.9315024,12556696.3518565,12815926.7722105,13075157.1925646,0.0651620845365627
"cou2cu",266,79,20,1,8,98,11,5,2,34,1,108,10,18,38,12,55,43,9,0,651723.61817629,653767.300096234,655810.982016179,664933.386045508,674055.790074837,683178.194104166,692300.598133494,701423.002162823,705472.622787341,709522.243411858,713571.864036375,717621.484660892,721671.10528541,723700.294043169,725729.482800927,727758.671558686,729787.860316445,731817.049074204,733846.237831963,735875.426589722,0.14949232878212
"des2pa",27,12,28,10,12,13,34,8,23,11,24,59,106,32,26,59,28,32,51,19,3291610.992922,3235726.18472657,3179841.37653114,3143267.74489595,3106694.11326076,3070120.48162558,3033546.84999039,2996973.2183552,3002995.73654959,3009018.25474399,3015040.77293839,3021063.29113278,3027085.80932718,3011245.62468706,2995405.44004694,2979565.25540682,2963725.0707667,2947884.88612659,2932044.70148647,2916204.51684635,0.025376809235377
"diptpa",52,12,71,23,16,87,22,40,88,34,56,112,22,50,101,69,113,60,34,123,16415246.0273462,16445329.823629,16475413.6199119,16602923.5156516,16730433.4113913,16857943.307131,16985453.2028707,17112963.0986104,17374458.2763368,17635953.4540631,17897448.6317895,18158943.8095158,18420438.9872422,17941249.6721112,17462060.3569803,16982871.0418493,16503681.7267183,16024492.4115874,15545303.0964564,15066113.7813255,0.0088002426281614
"drypst",0,15,9,1,245,61,0,33,42,2,65,3,0,28,16,112,1,5,1,0,2548229.48091916,2590115.63303984,2632001.78516052,2674799.04083938,2717596.29651824,2760393.5521971,2803190.80787596,2845988.06355482,2840614.91708993,2835241.77062505,2829868.62416016,2824495.47769528,2819122.33123039,2862290.09996409,2905457.86869778,2948625.63743148,2991793.40616517,3034961.17489887,3078128.94363257,3121296.71236626,0.0285666629654298
"eugeoe",271,21,9,191,5,92,21,201,19,73,165,153,7,152,7,50,82,158,31,9,1341017.79756917,1311208.4966543,1281399.19573944,1299130.80041061,1316862.40508178,1334594.00975295,1352325.61442413,1370057.2190953,1354482.61275644,1338908.00641759,1323333.40007873,1307758.79373988,1292184.18740103,1291150.84122914,1290117.49505725,1289084.14888536,1288050.80271347,1287017.45654159,1285984.1103697,1284950.76419781,0.162779492134884
"faraoc",1054,672,320,130,2234,550,16,956,285,338,1737,94,707,474,679,1317,266,758,580,54,22689379.2220652,22841124.765395,22992870.3087249,23245361.887793,23497853.4668611,23750345.0459292,24002836.6249973,24255328.2040654,24459717.643904,24664107.0837426,24868496.5235812,25072885.9634199,25277275.4032585,25482383.2574561,25687491.1116538,25892598.9658515,26097706.8200492,26302814.6742468,26507922.5284445,26713030.3826422,0.0674284215936492
"gar2in",1,0,2,0,0,3,2,2,0,5,0,27,4,29,143,5,4,90,11,0,1575079.21626688,1590568.01342292,1606056.81057895,1650189.01875337,1694321.22692778,1738453.4351022,1782585.64327661,1826717.85145103,1864551.04141948,1902384.23138792,1940217.42135637,1978050.61132482,2015883.80129326,2047318.80606818,2078753.8108431,2110188.81561802,2141623.82039294,2173058.82516785,2204493.82994277,2235928.83471769,0.0197105448320927
"guargu",36,3,16,5,8,115,77,5,21,267,2,232,5,62,140,17,59,34,27,82,4020330.00867711,4011772.59962816,4003215.1905792,3948368.47319054,3893521.75580189,3838675.03841323,3783828.32102457,3728981.60363592,3824648.63332561,3920315.66301531,4015982.69270501,4111649.7223947,4207316.7520844,4116036.67225877,4024756.59243314,3933476.5126075,3842196.43278187,3750916.35295624,3659636.27313061,3568356.19330498,0.038665665170186
"gustsu",10,20,5,10,15,18,9,20,15,26,7,19,5,5,18,2,10,0,1,1,7114804.98014224,7091079.87314512,7067354.766148,7134773.49951467,7202192.23288134,7269610.96624801,7337029.69961468,7404448.43298135,7421163.27158468,7437878.11018801,7454592.94879134,7471307.78739467,7488022.625998,7459788.20329195,7431553.78058591,7403319.35787987,7375084.93517383,7346850.51246779,7318616.08976175,7290381.66705571,0.00368505486128131
"heisco",7,44,116,9,104,7,46,2,163,5,4,53,54,87,33,27,79,17,40,10,6348626.26542678,6379696.39971647,6410766.53400616,6454026.97491024,6497287.41581433,6540547.85671841,6583808.29762249,6627068.73852658,6647744.85938818,6668420.98024978,6689097.10111137,6709773.22197297,6730449.34283457,6757724.66624812,6784999.98966168,6812275.31307523,6839550.63648879,6866825.95990234,6894101.28331589,6921376.60672945,0.0170772351295014
"hirttr",11,51,10,16,84,73,9,62,82,19,102,23,23,13,26,55,19,18,34,11,10690367.3608919,10752658.8857373,10814950.4105826,10826059.4108227,10837168.4110628,10848277.4113028,10859386.4115429,10870495.411783,10896605.1741431,10922714.9365032,10948824.6988634,10974934.4612235,11001044.2235836,11055312.9949974,11109581.7664112,11163850.537825,11218119.3092388,11272388.0806526,11326656.8520664,11380925.6234802,0.0084569994966925
"hyeral",2367,2714,6455,4397,9473,1132,7744,7492,1757,10126,1962,11722,11560,12346,18119,17219,23033,20199,8220,2037,9276238.06772671,9198352.90215731,9120467.7365879,9131836.658352,9143205.5801161,9154574.50188019,9165943.42364429,9177312.34540839,9203358.30756381,9229404.26971922,9255450.23187464,9281496.19403006,9307542.15618547,9301636.72952045,9295731.30285542,9289825.8761904,9283920.44952538,9278015.02286035,9272109.59619533,9266204.16953031,2.43247587608768
"ingama",2,0,62,21,81,60,6,50,90,22,29,90,8,52,32,21,41,43,6,65,2206278.97667829,2320681.34553598,2435083.71439367,2657244.61730305,2879405.52021244,3101566.42312182,3323727.3260312,3545888.22894059,3498567.67467192,3451247.12040325,3403926.56613457,3356606.0118659,3309285.45759723,3457879.84441246,3606474.23122768,3755068.61804291,3903663.00485814,4052257.39167336,4200851.77848859,4349446.16530382,0.0293115169201152
"luehse",1556,8217,214,17074,1631,4855,6018,5766,5088,8394,496,6664,4798,6371,6064,6346,8586,12692,2344,2897,15204895.6534774,15348941.2525977,15492986.851718,15671868.9956138,15850751.1395095,16029633.2834053,16208515.4273011,16387397.5711968,16411996.4898663,16436595.4085358,16461194.3272054,16485793.2458749,16510392.1645444,16464927.0774725,16419461.9904005,16373996.9033286,16328531.8162567,16283066.7291847,16237601.6421128,16192136.5550409,0.898491766418644
"mourmy",8,47,40,65,68,76,23,23,10,93,27,91,80,52,29,59,193,75,63,83,1413509.52677509,1414601.62719013,1415693.72760516,1415999.73091447,1416305.73422378,1416611.73753308,1416917.74084239,1417223.7441517,1434982.85905329,1452741.97395487,1470501.08885646,1488260.20375804,1506019.31865963,1534318.72432208,1562618.12998453,1590917.53564698,1619216.94130943,1647516.34697188,1675815.75263433,1704115.15829678,0.0989161421508061
"poutre",0,50,27,0,123,12,0,5,129,3,80,6,2,95,0,82,13,14,5,0,3071045.39585208,3149720.10095771,3228394.80606333,3326597.75218244,3424800.69830156,3523003.64442067,3621206.59053979,3719409.5366589,3759809.58835244,3800209.64004599,3840609.69173953,3881009.74343307,3921409.79512662,3962815.78311949,4004221.77111236,4045627.75910524,4087033.74709811,4128439.73509098,4169845.72308386,4211251.71107673,0.0218626310491993
"pri2co",11,1,28,14,22,16,31,39,19,11,4,20,30,3,16,21,14,15,25,31,41543095.2449529,41735047.292027,41926999.3391011,42229997.9345835,42532996.5300659,42835995.1255484,43138993.7210308,43441992.3165132,44302000.2056457,45162008.0947782,46022015.9839107,46882023.8730432,47742031.7621757,48362500.1760429,48982968.5899101,49603437.0037773,50223905.4176445,50844373.8315118,51464842.245379,52085310.6592462,0.00100953706500503
"protte",1,51,19,1,53,7,32,28,21,23,21,8,0,11,12,16,13,3,30,2,6499062.12771796,6461803.19898386,6424544.27024975,6496197.56265454,6567850.85505934,6639504.14746414,6711157.43986893,6782810.73227373,6719724.45076638,6656638.16925903,6593551.88775168,6530465.60624433,6467379.32473698,6410126.69787766,6352874.07101833,6295621.444159,6238368.81729968,6181116.19044035,6123863.56358103,6066610.9367217,0.00676404479285639
"quaras",258,1420,125,3168,67,2034,337,1313,1234,644,575,878,437,1112,857,516,608,904,1603,0,54588522.1788599,53344801.4980213,52101080.8171828,52684382.7112218,53267684.6052608,53850986.4992998,54434288.3933388,55017590.2873778,52999177.3253228,50980764.3632679,48962351.4012129,46943938.4391579,44925525.4771029,44548575.67045,44171625.863797,43794676.0571441,43417726.2504911,43040776.4438382,42663826.6371852,42286876.8305323,0.0459719793740713
"randar",399,39,44,229,29,192,85,186,769,80,105,102,38,72,3,265,77,23,12,0,979192.027827904,982468.922595183,985745.817362462,978547.625547332,971349.433732201,964151.241917071,956953.050101941,949754.85828681,952260.226699469,954765.595112127,957270.963524785,959776.331937443,962281.700350101,956902.706354519,951523.712358937,946144.718363355,940765.724367774,935386.730372192,930007.73637661,924628.742381028,0.358012803271946
"simaam",13,143,68,181,44,29,143,7,46,98,59,115,54,223,2,156,22,23,6,40,7293637.39860034,7376326.58106539,7459015.76353045,7625410.38047696,7791804.99742347,7958199.61436998,8124594.23131649,8290988.848263,8172386.44043679,8053784.03261058,7935181.62478438,7816579.21695817,7697976.80913196,7512705.54659219,7327434.28405241,7142163.02151264,6956891.75897286,6771620.49643309,6586349.23389331,6401077.97135354,0.0242792491674795
"tab1ro",95,100,169,238,182,219,106,97,210,122,87,208,114,234,217,188,201,176,183,116,2974646.29726866,2957007.07041398,2939367.8435593,3033960.38813355,3128552.9327078,3223145.47728206,3317738.02185631,3412330.56643057,3516385.84782568,3620441.1292208,3724496.41061591,3828551.69201103,3932606.97340615,3918947.65575069,3905288.33809523,3891629.02043978,3877969.70278432,3864310.38512887,3850651.06747341,3836991.74981796,0.115875236504598
"termam",259,840,369,1264,742,692,648,1401,736,121,325,68,14,10,1,13,15,18,8,10,1556306.44116159,1609860.02965244,1663413.61814329,1708491.01975816,1753568.42137302,1798645.82298789,1843723.22460276,1888800.62621762,1873639.57011527,1858478.51401292,1843317.45791057,1828156.40180822,1812995.34570587,1871314.36672333,1929633.38774078,1987952.40875824,2046271.42977569,2104590.45079315,2162909.4718106,2221228.49282806,0.533323357057888
"tet2pa",281,51,223,45,51,307,39,54,56,537,18,175,32,41,43,51,116,100,43,80,6893805.44399862,6906765.73450843,6919726.02501823,6919182.15761461,6918638.29021099,6918094.42280736,6917550.55540374,6917006.68800012,6884765.70257669,6852524.71715325,6820283.73172982,6788042.74630638,6755801.76088295,6665530.88195969,6575260.00303643,6484989.12411318,6394718.24518992,6304447.36626666,6214176.4873434,6123905.60842015,0.0432829770699599
"tratas",4,16,32,11,28,17,6,9,22,25,6,0,26,30,21,11,8,57,5,10,1230170.84040743,1210454.85186325,1190738.86331907,1218207.58240007,1245676.30148108,1273145.02056208,1300613.73964308,1328082.45872409,1344029.10929498,1359975.75986587,1375922.41043676,1391869.06100765,1407815.71157854,1408525.50433648,1409235.29709442,1409945.08985236,1410654.88261031,1411364.67536825,1412074.46812619,1412784.26088413,0.0322316584467724
"tri2pa",0,0,3,1,113,13,0,0,11,0,149,0,0,2,0,56,13,5,0,0,590754.390462214,565899.896129702,541045.401797189,546605.605585938,552165.809374686,557726.013163434,563286.216952182,568846.42074093,573041.067658272,577235.714575615,581430.361492957,585625.008410299,589819.655327642,603542.25411057,617264.852893498,630987.451676427,644710.050459355,658432.649242284,672155.248025212,685877.84680814,0.078826718711951
"tri2tu",37,1872,897,386,6995,516,362,2107,2364,444,2685,199,921,2110,1315,2494,1058,1176,900,3,27689689.2133493,27420248.2769688,27150807.3405882,26806157.7415542,26461508.1425202,26116858.5434862,25772208.9444523,25427559.3454183,24676699.1946969,23925839.0439755,23174978.8932541,22424118.7425327,21673258.5918114,21127336.3183232,20581414.0448351,20035491.7713469,19489569.4978588,18943647.2243707,18397724.9508825,17851802.6773944,0.154166714728905
"tripcu",0,295,6,26,4,33,76,1,14,0,43,6,68,30,26,29,3,47,2,7,3054127.79730384,3050192.24434034,3046256.69137685,3060299.5495099,3074342.40764294,3088385.26577599,3102428.12390904,3116470.98204209,3146438.10847649,3176405.23491089,3206372.36134529,3236339.48777969,3266306.61421409,3227222.51105425,3188138.40789442,3149054.30473458,3109970.20157475,3070886.09841491,3031801.99525508,2992717.89209524,0.0288057878902836
