"","sp","Latin","dmax","e_vs_l","dpft","pft","r_ba","ba","r_abun"
"1","ade1tr","Adelia triloba",239.2,"late","dt","latedt",1.89355020425593,2.14960964047759,55
"2","alchco","Alchornea costaricensis",466.75,"early","di","earlydi",9.61371177215994,10.9142180334106,86
"3","alsebl","Alseis blackiana",245,"late","dt","latedt",64.7905528391038,72.0110975025294,912
"4","andiin","Andira inermis",145,"late","di","latedi",0.725540613170439,0.951139167022885,61
"5","apeime","Apeiba membranacea",754.15,"early","di","earlydi",25.9559743778411,30.7827393219651,81
"6","ast1st","Astrocaryum standleyanum",170,"late","dt","latedt",2.1795961423561,2.18487794500495,150
"7","beilpe","Beilschmiedia pendula",295,"late","di","latedi",25.6444713290708,28.0946198599577,194
"8","brosal","Brosimum alicastrum",450,"late","dt","latedt",22.5599142901069,26.1852894358028,54
"9","calolo","Calophyllum longifolium",97,"late","di","latedi",6.10771479110598,6.67276714356779,162
"10","caseac","Casearia aculeata",95,"late","dt","latedt",0.462451077988215,0.631142822513536,85
"11","cassel","Cassipourea elliptica",144,"late","di","latedi",2.98324381747825,3.67586917901887,176
"12","cecrin","Cecropia insignis",419,"early","dt","earlydt",14.5636569934348,18.9546579037646,163
"13","cecrob","Cecropia obtusifolia",241.15,"early","dt","earlydt",2.59756305376765,3.13002138244846,99
"14","celtsc","Celtis schippii",189.05,"late","dt","latedt",1.13727539015543,1.28188918318547,53
"15","chr2ar","Chrysophyllum argenteum",236,"late","di","latedi",2.98503373989264,3.72690592247276,60
"16","cordbi","Cordia bicolor",329,"early","di","earlydi",16.0798547961048,17.6837265957549,259
"17","cordla","Cordia lasiocalyx",151,"early","di","earlydi",3.65255384914025,4.56759297498074,329
"18","cou2cu","Coussarea curvigemmia",86,"late","di","latedi",2.34511016591232,3.02122645805832,542
"19","crotbi","Croton billbergianus",142,"late","di","latedi",1.1469467831395,1.5598400224155,89
"20","cupasy","Cupania seemannii",91,"late","dt","latedt",1.37578667521229,1.80245658367244,236
"21","drypst","Drypetes standleyi",169,"late","dt","latedt",11.5642127680402,13.4317325209666,400
"22","eugeco","Eugenia coloradoensis",165,"late","di","latedi",2.26622477438068,2.73121661542748,103
"23","eugega","Eugenia galalonensis",52,"late","dt","latedt",0.799093936570773,1.14867308830265,386
"24","eugene","Eugenia nesiotica",174,"late","dt","latedt",1.9124892955681,2.21337611736383,51
"25","eugeoe","Eugenia oerstediana",128,"late","di","latedi",4.77312067876756,5.73359116136977,313
"26","faraoc","Faramea occidentalis",106,"late","dt","latedt",51.3906744968482,64.4034457923284,8271
"27","gar2in","Garcinia intermedia",75,"late","dt","latedt",5.10272008662077,6.40238675723474,1164
"28","gar2ma","Garcinia madruno",83,"late","di","latedi",0.401097344259933,0.541925518142403,85
"29","guargu","Guarea guidonia",257,"late","di","latedi",13.120315080596,15.6176998132242,278
"30","guarsp","Guarea bullata",111,"late","di","latedi",1.14394577675716,1.47335668905116,146
"31","guatdu","Guatteria dumetorum",328.9,"early","di","earlydi",11.5389182347898,13.5731167567488,100
"32","guetfo","Guettarda foliacea",190,"late","di","latedi",1.06314165751234,1.47732687676713,62
"33","gustsu","Gustavia superba",304.4,"late","dt","latedt",18.4705156992997,20.7976158999271,446
"34","hassfl","Hasseltia floribunda",202,"late","di","latedi",3.25516515500788,3.92280935716531,149
"35","heisco","Heisteria concinna",256.549999999999,"late","di","latedi",8.40037528226845,10.2597182549158,241
"36","hirttr","Hirtella triandra",181,"late","di","latedi",20.2766667959327,24.6897224720889,887
"37","ingago","Inga goldmanii",163.599999999999,"late","di","latedi",1.08763587003422,1.38468994879256,51
"38","ingama","Inga marginata",280,"late","di","latedi",6.58788680785493,7.09838069149817,85
"39","ingaqu","Inga nobilis",116,"late","di","latedi",1.62430393287084,1.95528249989897,217
"40","ingas1","Inga acuminata",132.9,"late","di","latedi",1.52231055657572,1.84076045210134,117
"41","ingasa","Inga sapindoides",186.55,"late","di","latedi",1.64507457270005,1.87996281602916,72
"42","jac1co","Jacaranda copaia",712.5,"early","di","earlydi",40.2515851882845,42.5907546024889,157
"43","laciag","Lacistema aggregatum",70,"late","di","latedi",0.943459543781185,1.2722005114418,264
"44","laetth","Laetia thamnia",99,"late","di","latedi",0.712872926193001,0.874170147009935,119
"45","licapl","Licania platypus",76,"late","di","latedi",0.790681536842623,0.867751087820488,55
"46","loncla","Lonchocarpus heptaphyllus",262.15,"late","di","latedi",3.95014278404787,5.06295459220979,67
"47","maquco","Maquira guianensis",128,"late","di","latedi",3.31003699769364,4.22933141078342,428
"48","micoar","Miconia argentea",152.05,"late","dt","latedt",1.90870524721685,2.20093226886296,76
"49","ocotwh","Ocotea whitei",520,"late","di","latedi",15.9848522488621,18.2395976436865,85
"50","oenoma","Oenocarpus mapora",120,"late","dt","latedt",12.7635416816874,13.0494014804229,1678
"51","perexa","Perebea xanthochyma",117.85,"late","di","latedi",0.652487588400188,0.7784748785871,83
"52","poular","Poulsenia armata",259,"early","di","earlydi",19.7520192519869,23.4311156320592,365
"53","poutre","Pouteria reticulata",289,"late","di","latedi",17.8825854837363,19.2476129895082,164
"54","pri2co","Prioria copaifera",636,"early","di","earlydi",66.3239869898677,73.5305884796986,152
"55","protco","Protium costaricense",145,"late","di","latedi",2.20911140533658,2.7511759389539,186
"56","protpa","Protium panamense",73,"early","di","earlydi",2.6799843078309,3.53574079489999,848
"57","protte","Protium tenuifolium",223.25,"late","di","latedi",15.1755740543065,18.1649675394042,366
"58","pterro","Pterocarpus rohrii",103,"early","di","earlydi",1.88912919799417,2.47175012197301,229
"59","quaras","Quararibea asterolepis",607,"early","dt","earlydt",72.932236815905,86.9694477035998,328
"60","randar","Randia armata",157,"late","dt","latedt",4.21728811534588,4.9297251455582,321
"61","simaam","Simarouba amara",295,"early","di","earlydi",13.0436492242742,15.3434968940299,153
"62","sipapa","Siparuna pauciflora",100,"late","dt","latedt",0.275098273100571,0.420422066070327,50
"63","sloate","Sloanea terniflora",253.799999999999,"late","di","latedi",5.63070400196471,6.22764901764759,55
"64","socrex","Socratea exorrhiza",150,"early","di","earlydi",3.92355077303156,4.35202866806386,355
"65","swars1","Swartzia simplex",139,"late","dt","latedt",6.20518820097075,7.78651671713681,353
"66","tab2ar","Tabernaemontana arborea",398,"late","di","latedi",26.6308104709808,30.3910376959339,245
"67","tachve","Tachigali versicolor",80,"late","dt","latedt",9.44882292554179,10.0984226048952,422
"68","tet2pa","Tetragastris panamensis",187,"late","di","latedi",26.8723039128641,29.8719405608088,412
"69","tri2pa","Trichilia pallida",175,"late","dt","latedt",2.22543669156096,2.71530680483154,112
"70","tri2tu","Trichilia tuberculata",254,"late","dt","latedt",62.5729811247511,74.7546660748727,1047
"71","tripcu","Triplaris cumingiana",284.4,"late","dt","latedt",3.67881285133528,4.42428372830009,88
"72","unonpi","Unonopsis pittieri",191,"early","di","earlydi",3.89703258944261,4.50490406437468,187
"73","virose","Virola sebifera",265,"early","di","earlydi",17.1546918176683,19.8896579239278,412
"74","virosu","Virola surinamensis",757.249999999999,"early","di","earlydi",18.1012309076482,21.8161705037034,66
"75","xyl1ma","Xylopia macrantha",145,"late","di","latedi",4.66303848678761,5.72428340773535,350
"76","zantbe","Zanthoxylum ekmanii",570,"late","di","latedi",16.5010944616632,17.796083300816,92
