"","sp","r_ba"
"1","ade1tr",0.585114563147628
"2","aegipa",0.215828200699782
"3","alchco",2.8322659431302
"4","alchla",0.0483051286415967
"5","allops",0.516804557886135
"6","alsebl",18.4585030343905
"7","amaico",0.0323474087576873
"8","anacex",21.7857779509744
"9","andiin",0.291716512839897
"10","annosp",0.319822771515238
"11","apeihy",0
"12","apeime",16.289739103504
"13","apeiti",0.645955431875212
"14","aspicr",7.68580668144068
"15","ast1st",2.06637314312073
"16","ast2gr",2.53996745025122
"17","beilpe",15.5197237485348
"18","brosal",12.9834853687634
"19","calolo",4.65713779038601
"20","caseac",0.154549865195186
"21","casear",2.21154928123576
"22","casesy",0.720809374634132
"23","cassel",1.09001719726564
"24","cavapl",25.7392618188094
"25","cecrin",8.11499457641268
"26","cecrob",1.54095119658579
"27","cedrod",0.121922069293166
"28","ceibpe",49.6130113623979
"29","celtsc",0.521615121636945
"30","cespma",0.143200861734093
"31","chimpa",0.0673604588819456
"32","chr2ar",1.7500477496271
"33","chr2ca",4.02674188152586
"34","coccco",0.282350639741383
"35","colugl",0.171286700057186
"36","cordal",3.14209609381253
"37","cordbi",8.25488027249908
"38","cordla",1.23365788197123
"39","cou2cu",0.705526311772581
"40","crotbi",0.757628840534205
"41","cupaci",0.00738981131940659
"42","cupala",0.716790492232028
"43","cuparu",0.0387075630848798
"44","cupasy",0.522784579502244
"45","dendar",1.80729856334979
"46","dio2ar",0.299994609482106
"47","diptpa",11.3597029402731
"48","drypst",3.39250459024854
"49","elaeol",2.6404897757863
"50","entesc",0.130854402605485
"51","ery2ma",0.121338518457762
"52","eugeco",0.613513775337917
"53","eugega",0.21547398612809
"54","eugene",1.07116921214043
"55","eugeoe",2.38362137945635
"56","faraoc",14.3864334686605
"57","ficubu",0
"58","ficuc2",10.0764424518943
"59","ficuin",0
"60","ficuma",0.397178992822743
"61","ficuob",6.52106827370573
"62","ficupo",4.27322338714488
"63","ficuto",0.173894221959666
"64","ficutr",4.16452820832149
"65","ficuyo",2.34868608375027
"66","gar2in",1.39490169571306
"67","gar2ma",0.14344983295189
"68","geniam",0.742175346271197
"69","guapst",5.2388562918751
"70","guargr",1.75620134423732
"71","guargu",6.07001018147576
"72","guarsp",0.397058826903743
"73","guatdu",6.06415032577865
"74","guazul",3.83464841332395
"75","guetfo",0.345627813571825
"76","gustsu",9.20604849925401
"77","hampap",0.270402377481617
"78","hassfl",1.72888283991986
"79","heisco",4.29744899349488
"80","hirtam",0
"81","hirttr",6.41759128027996
"82","huracr",24.9323084028175
"83","hyeral",8.2223545783583
"84","ingaco",0.0555716324493499
"85","ingafa",0.194782671513384
"86","ingago",0.572775958000655
"87","ingama",4.33122504151178
"88","ingami",0.0683492751696629
"89","ingape",0.184283468865087
"90","ingapu",0.400457244756764
"91","ingaqu",0.773231560448258
"92","ingaru",0.101808022328558
"93","ingas1",0.964902484438262
"94","ingasa",1.20133482055661
"95","ingasp",0.614065910246785
"96","ingath",0.769537047487637
"97","jac1co",20.8119981110953
"98","laciag",0.261020796419835
"99","lacmpa",1.35350885630752
"100","laetpr",0.748822170928029
"101","laetth",0.390072710240323
"102","lafopu",0.139204755878727
"103","licahy",0.193777361864235
"104","licapl",0.488926850076343
"105","lindla",0.971361598934043
"106","loncla",2.55447218353285
"107","luehse",11.3786671643265
"108","maclti",0.113411494794592
"109","macrgl",0.971262638765454
"110","maquco",0.796220950089065
"111","mar1la",0.145947399111494
"112","maytsc",0.272164025562118
"113","micoar",0.950589388308507
"114","micoho",0.119481051801327
"115","myrcga",0.0172033613710577
"116","myrofr",0.69522031707248
"117","nectci",0.835027473342533
"118","nectgl",0.409969201913671
"119","nectpu",0.0911108993430844
"120","nects1",0.00916088417786784
"121","ochrpy",1.15820389501548
"122","ocotce",0.45348968494385
"123","ocotob",2.29406949546761
"124","ocotpu",2.09970858276797
"125","ocotwh",4.8339709722731
"126","oenoma",0.27647350528468
"127","ormocr",0.842059928497594
"128","ormoma",0.765331240322643
"129","perexa",0.398031149830029
"130","phoeci",0.98288260459292
"131","pit1ma",0.641839945499009
"132","pla1pi",7.17246494405696
"133","pla2el",7.33837873527835
"134","pochqu",0.136572101235019
"135","pochse",0.560348602861217
"136","posola",0.280681668644163
"137","poular",3.527607996918
"138","pourbi",1.11972566819431
"139","poutfo",0.435223679857716
"140","poutre",8.25249815986949
"141","poutst",0.931945606705778
"142","pri2co",50.3766225807427
"143","protco",1.29297586365999
"144","protpa",0.0948902353053529
"145","protte",6.79444966642112
"146","pse1se",3.09867064396012
"147","psidfr",0.108738375722377
"148","pterof",0
"149","pterro",0.500550742894625
"150","quaras",0.919484479445314
"151","randar",1.91809311146394
"152","sapiau",1.19507362639801
"153","sapisp",0.139866846530471
"154","sch1zo",3.60461628683912
"155","sch2mo",0
"156","schipa",0.126231549015728
"157","simaam",7.73093565990949
"158","sipagu",0.121745354706402
"159","sipapa",0.0423431711832466
"160","sloate",2.36176924635614
"161","socrex",3.1910413219573
"162","solaha",0.182432285393959
"163","sponmo",3.77285878361498
"164","sponra",6.11775139423604
"165","sterap",6.85864575610273
"166","swars1",2.88592120406086
"167","sympgl",0.668000772923615
"168","tab1gu",4.69840418068723
"169","tab1ro",4.247368865004
"170","tab2ar",8.80098803586157
"171","tachve",2.96370468196925
"172","termam",2.73205934765681
"173","termob",5.57436189391706
"174","tet2pa",14.791484507275
"175","tet4jo",0.636305244641547
"176","tocopi",0.541525750477233
"177","tratas",3.40892883664151
"178","tremin",1.34103359188012
"179","tremmi",0.809417210030469
"180","tri2pa",1.07522814984886
"181","tri2tu",5.615698970053
"182","tri4ga",0
"183","tripcu",2.47098043177288
"184","tropra",0.399111857702864
"185","turpoc",1.2626477135804
"186","unonpi",2.64895244099691
"187","virose",0.705785493166503
"188","virosp",1.18195747706927
"189","virosu",5.4937753299635
"190","vochfe",0.798737365804591
"191","xyl1ma",2.00271033879206
"192","zantbe",13.078414873977
"193","zantp1",2.58201138473422
"194","zantpr",0.806216712514624
"195","zantse",0.108686539443592
"196","zuelgu",0.310224420560358
