sp,Latin,dmax,wsg,e_vs_l,dpft,repro_abund_2010,pft
tri2tu,Trichilia tuberculata,990.6666667,0.6275,late,dt,402,latedt
quaras,Quararibea asterolepis,2071.333333,0.454,early,dt,374,earlydt
alsebl,Alseis blackiana,981.6666667,0.536,late,di,371,latedi
tab2ar,Tabernaemontana arborea,952.5,0.524667,late,dt,173,latedt
jac1co,Jacaranda copaia,1210.333333,0.350667,early,dt,171,earlydt
pri2co,Prioria copaifera,1444.166667,0.413571,early,dt,169,earlydt
tet2pa,Tetragastris panamensis,802,0.717333,late,dt,142,latedt
beilpe,Beilschmiedia pendula,952.3333333,0.507,late,di,130,latedi
cordbi,Cordia bicolor,604,0.475,early,dt,118,earlydt
apeime,Apeiba membranacea,1263.833333,0.278333,early,dt,109,earlydt
cecrin,Cecropia insignis,696.5,0.3175,early,di,103,earlydi
poutre,Pouteria reticulata,937.3333333,0.794,late,dt,101,latedt
zantbe,Zanthoxylum ekmanii,846.1666667,0.608812,late,dt,94,latedt
virosu,Virola surinamensis,1376,0.417909,early,di,91,earlydi
virose,Virola sebifera,775.6666667,0.445375,early,dt,87,earlydt
protte,Protium tenuifolium,570,0.56975,late,dt,84,latedt
ocotwh,Ocotea whitei,1372.333333,0.525773,late,dt,79,latedt
alchco,Alchornea costaricensis,879.1666667,0.301,early,dt,76,earlydt
guargu,Guarea guidonia,576.1666667,0.567514,late,di,73,latedi
huracr,Hura crepitans,2820.666667,0.367333,early,dt,73,earlydt
gustsu,Gustavia superba,476.1666667,0.58,late,dt,70,latedt
poular,Poulsenia armata,1392,0.350429,early,dt,69,earlydt
simaam,Simarouba amara,758.1666667,0.384643,early,dt,69,earlydt
guatdu,Guatteria dumetorum,967.8333333,0.466,early,dt,58,earlydt
guapst,Guapira standleyana,1081.5,0.5994,late,dt,55,latedt
brosal,Brosimum alicastrum,1646.5,0.60775,late,dt,50,latedt